,rule_id,window_label,n_alerts,n_sars,n_nonsars,sar_rate,recall_at_5pct,recall_at_10pct,recall_at_20pct,recall_at_30pct,recall_at_50pct,precision_at_5pct,precision_at_10pct,precision_at_20pct,precision_at_30pct,precision_at_50pct,score_mean_sar,score_mean_nonsar,score_mean_all,auc_roc,meets_floor,above_support_floor,gate_pass
0,R15,Window-1,923,215,708,0.23293607800650054,0.2186046511627907,0.4325581395348837,0.6604651162790698,0.9906976744186047,1.0,1.0,1.0,0.7675675675675676,0.7689530685920578,0.4653679653679654,0.7756693467975768,0.07075116133268727,0.23495203877033757,0.9690710813296545,True,True,True
1,R08,Window-1,7044,161,6883,0.02285633162975582,0.9440993788819876,1.0,1.0,1.0,1.0,0.43059490084985835,0.22836879432624113,0.11426543647977289,0.076158940397351,0.04571266325951164,0.7099361536969871,0.027851321835852108,0.04344127895249645,0.9830855208123714,True,True,True
2,R09,Window-1,185,107,78,0.5783783783783784,0.09345794392523364,0.17757009345794392,0.34579439252336447,0.5233644859813084,0.8691588785046729,1.0,1.0,1.0,1.0,1.0,0.810302461601518,0.0035359149680540057,0.4701522419398414,1.0,False,True,False
3,R06,Window-1,212,92,120,0.4339622641509434,0.08695652173913043,0.1956521739130435,0.391304347826087,0.5652173913043478,0.8804347826086957,0.7272727272727273,0.8181818181818182,0.8372093023255814,0.8125,0.7641509433962265,0.8028058824670855,0.18946322034720744,0.4556307907011168,0.9011775362318841,False,True,False
4,R12,Window-1,60,60,0,1.0,0.05,0.1,0.2,0.3,0.5,1.0,1.0,1.0,1.0,1.0,0.7360761637269669,,0.7360761637269669,,False,True,False
5,R01,Window-1,56,53,3,0.9464285714285714,0.05660377358490566,0.11320754716981132,0.22641509433962265,0.32075471698113206,0.5283018867924528,1.0,1.0,1.0,1.0,1.0,0.7396822349781775,0.004736205123285622,0.7003101262359513,1.0,False,True,False
6,R02,Window-1,201,48,153,0.23880597014925373,0.20833333333333334,0.3958333333333333,0.8125,1.0,1.0,0.9090909090909091,0.9047619047619048,0.9512195121951219,0.7868852459016393,0.4752475247524752,0.7729743908723422,0.026831840716020645,0.20501513627573925,0.985838779956427,True,False,True
7,R04,Window-1,39,39,0,1.0,0.05128205128205128,0.10256410256410256,0.20512820512820512,0.3076923076923077,0.5128205128205128,1.0,1.0,1.0,1.0,1.0,0.8086901823263809,,0.8086901823263809,,False,False,True
8,R11,Window-1,25,25,0,1.0,0.08,0.12,0.2,0.32,0.52,1.0,1.0,1.0,1.0,1.0,0.869008548779503,,0.869008548779503,,False,False,True
9,R13,Window-1,22,22,0,1.0,0.09090909090909091,0.13636363636363635,0.22727272727272727,0.3181818181818182,0.5,1.0,1.0,1.0,1.0,1.0,0.9526125607449256,,0.9526125607449256,,False,False,True
10,R07,Window-1,144,20,124,0.1388888888888889,0.05,0.15,0.4,0.45,0.75,0.125,0.2,0.27586206896551724,0.20454545454545456,0.20833333333333334,0.5779738608228367,0.38831958022311824,0.4146604525286347,0.6818548387096773,True,False,True
11,R15,Window-2,1005,229,776,0.22786069651741295,0.22270742358078602,0.4410480349344978,0.6855895196506551,0.9737991266375546,1.0,1.0,1.0,0.7810945273631841,0.7384105960264901,0.4552683896620278,0.8674073988625999,0.09200266039664903,0.268686924186403,0.9726792869040652,True,True,True
12,R08,Window-2,7306,177,7129,0.024226663016698603,0.96045197740113,1.0,1.0,1.0,1.0,0.4644808743169399,0.2421340629274966,0.1210670314637483,0.08074817518248176,0.04845332603339721,0.8631747755906969,0.02919472125993703,0.04939927499885634,0.9889295968642444,True,True,True
13,R09,Window-2,204,119,85,0.5833333333333334,0.09243697478991597,0.17647058823529413,0.3445378151260504,0.5210084033613446,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.8531331510234371,0.0037982479476434366,0.4992436080751898,1.0,False,True,False
14,R06,Window-2,205,106,99,0.5170731707317073,0.09433962264150944,0.1792452830188679,0.3490566037735849,0.5377358490566038,0.8301886792452831,0.9090909090909091,0.9047619047619048,0.9024390243902439,0.9193548387096774,0.8543689320388349,0.8723656374662428,0.18764975229578643,0.5416979660912419,0.9256241661902039,False,True,False
15,R12,Window-2,67,67,0,1.0,0.05970149253731343,0.1044776119402985,0.208955223880597,0.31343283582089554,0.5074626865671642,1.0,1.0,1.0,1.0,1.0,0.8348886199536795,,0.8348886199536795,,False,True,False
16,R01,Window-2,56,54,2,0.9642857142857143,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.3148148148148148,0.5185185185185185,1.0,1.0,1.0,1.0,1.0,0.7584009358675569,0.00876449108305914,0.731628205696682,1.0,False,True,False
17,R04,Window-2,52,52,0,1.0,0.057692307692307696,0.11538461538461539,0.21153846153846154,0.3076923076923077,0.5,1.0,1.0,1.0,1.0,1.0,0.8137095114232491,,0.8137095114232491,,False,True,False
18,R02,Window-2,209,45,164,0.215311004784689,0.13333333333333333,0.35555555555555557,0.7777777777777778,1.0,1.0,0.5454545454545454,0.7619047619047619,0.8333333333333334,0.7142857142857143,0.42857142857142855,0.7830604457822845,0.046421549928007025,0.2050280107578754,0.9655826558265582,True,False,True
19,R11,Window-2,28,28,0,1.0,0.07142857142857142,0.10714285714285714,0.21428571428571427,0.32142857142857145,0.5,1.0,1.0,1.0,1.0,1.0,0.944736435407047,,0.944736435407047,,False,False,True
20,R13,Window-2,26,26,0,1.0,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.3076923076923077,0.5,1.0,1.0,1.0,1.0,1.0,0.8152898443451204,,0.8152898443451204,,False,False,True
21,R07,Window-2,148,18,130,0.12162162162162163,0.16666666666666666,0.2222222222222222,0.2777777777777778,0.6111111111111112,0.8333333333333334,0.375,0.26666666666666666,0.16666666666666666,0.24444444444444444,0.20270270270270271,0.8704090592768586,0.5747140442097908,0.6106769514476774,0.7525641025641024,False,False,True
22,R15,Window-3,915,223,692,0.24371584699453552,0.2062780269058296,0.4125560538116592,0.5695067264573991,0.8923766816143498,1.0,1.0,1.0,0.6939890710382514,0.7236363636363636,0.4868995633187773,0.733503918832385,0.08960279965471006,0.24653170629582644,0.9499015008165065,True,True,True
23,R08,Window-3,7014,172,6842,0.024522383803820928,0.7906976744186046,1.0,1.0,1.0,1.0,0.38746438746438744,0.245014245014245,0.1225944404846757,0.0817102137767221,0.049044767607641856,0.6669752924622134,0.029705206952767998,0.045332588576324405,0.9813727456272134,True,True,True
24,R09,Window-3,184,107,77,0.5815217391304348,0.09345794392523364,0.17757009345794392,0.34579439252336447,0.5233644859813084,0.8598130841121495,1.0,1.0,1.0,1.0,1.0,0.7778417430078813,0.0036001101218685974,0.4538384509849304,1.0,False,True,False
25,R06,Window-3,195,94,101,0.48205128205128206,0.07446808510638298,0.1702127659574468,0.35106382978723405,0.48936170212765956,0.776595744680851,0.7,0.8,0.8461538461538461,0.7796610169491526,0.7448979591836735,0.7282827209702252,0.20427640423931276,0.4568743210224193,0.8667579523909839,False,True,False
26,R12,Window-3,60,60,0,1.0,0.05,0.1,0.2,0.3,0.5,1.0,1.0,1.0,1.0,1.0,0.621583854294947,,0.621583854294947,,False,True,False
27,R04,Window-3,52,52,0,1.0,0.057692307692307696,0.11538461538461539,0.21153846153846154,0.3076923076923077,0.5,1.0,1.0,1.0,1.0,1.0,0.6055134305503802,,0.6055134305503802,,False,True,False
28,R01,Window-3,41,40,1,0.975609756097561,0.075,0.125,0.225,0.325,0.525,1.0,1.0,1.0,1.0,1.0,0.8202479384061536,0.005450880107389114,0.8003748394232568,1.0,False,False,True
29,R02,Window-3,216,34,182,0.1574074074074074,0.2647058823529412,0.5588235294117647,0.9705882352941176,1.0,1.0,0.8181818181818182,0.8636363636363636,0.75,0.5230769230769231,0.3148148148148148,0.8396201835969781,0.04856971801337292,0.17308692092931077,0.9823044602456367,True,False,True
30,R13,Window-3,26,26,0,1.0,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.3076923076923077,0.5,1.0,1.0,1.0,1.0,1.0,0.6199446162296727,,0.6199446162296727,,False,False,True
31,R11,Window-3,24,24,0,1.0,0.08333333333333333,0.125,0.20833333333333334,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.9519813320094636,,0.9519813320094636,,False,False,True
32,R07,Window-3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.21295943929765493,0.21295943929765493,,False,False,True
