threshold,precision,recall,f1
8.953571486233105e-05,0.09506250562100908,1.0,0.17362023653088043
0.00036952327103076805,0.10039893617021277,1.0,0.18247734138972813
0.00039889020385509285,0.13458110516934046,1.0,0.2372348782403771
0.00041148269854222,0.1494204127791914,1.0,0.2599926208338458
0.00042483447913030197,0.15074158585282374,1.0,0.26199033337464367
0.00043627672128751207,0.1554640388292396,1.0,0.2690936863543788
0.0004466961519661474,0.16090729182523977,1.0,0.2772095462890113
0.00045425112287949784,0.16176920722375268,1.0,0.2784876827822421
0.00046121922619324324,0.17040141866838626,1.0,0.29118457300275485
0.0004640857649231976,0.1743361372257958,1.0,0.2969101123595505
0.0004793339686880156,0.18167755242351324,1.0,0.3074909090909091
0.0004841847507220692,0.1833795975017349,1.0,0.3099252309045594
0.0004885964876604964,0.18485484435117175,1.0,0.312029520295203
0.0004958829263747682,0.18609154929577465,1.0,0.31378952055811193
0.0005006096831066055,0.18837996792015682,1.0,0.3170365926814637
0.0005058104465678691,0.1912083936324168,1.0,0.32103264996203495
0.0005117187054568006,0.1933772411269667,1.0,0.3240840104246512
0.0005193659424278802,0.19419437810031231,1.0,0.3252307692307692
0.0005237406067346639,0.19581326417191552,1.0,0.3274980635166538
0.0005278432064140863,0.19742248785954428,1.0,0.3297457494930588
0.0005354205946078292,0.1985349361382419,1.0,0.33129603510421557
0.000541929726378008,0.2006073258682862,1.0,0.3341764147960797
0.0005490391523606038,0.20160213618157544,1.0,0.33555555555555555
0.000561478683202467,0.20241286863270777,1.0,0.3366778149386845
0.0005672700279774104,0.2031910803537101,1.0,0.33775363476593706
0.0005738424030619884,0.2046070460704607,1.0,0.33970753655793023
0.0005855401818416116,0.20592246249756477,1.0,0.3415185783521809
0.0005919484842730519,0.20660672400312743,1.0,0.34245909606350233
0.000595777807564901,0.20798898071625344,1.0,0.3443557582668187
0.0006005088484507561,0.20885200553250347,1.0,0.345537757437071
0.0006071314029413634,0.21123101518784973,1.0,0.34878732882362645
0.0006113050684977679,0.21246231155778894,1.0,0.3504641909814324
0.0006159706497247849,0.21379449838187703,1.0,0.35227462089651723
0.0006214182283438148,0.21518729641693812,1.0,0.3541631764114592
0.0006256989951840649,0.21713229252259655,1.0,0.3567932489451477
0.00063064384689977,0.22873836831854577,1.0,0.3723141951391335
0.0006343068980197929,0.22958297132927888,1.0,0.3734322557851969
0.000638392016815177,0.2334363957597173,1.0,0.3785138764547896
0.000642163180438542,0.2372615039281706,1.0,0.3835268505079826
0.0006444039778873318,0.23887005649717513,1.0,0.38562568405691355
0.0006492400067483895,0.240281882245965,1.0,0.38746334310850444
0.00065242195624465,0.2419871794871795,1.0,0.3896774193548387
0.0006534843652188392,0.24847202632816173,1.0,0.3980418000376577
0.000656451338655226,0.25023674242424243,1.0,0.4003029729217951
0.0006593244768953495,0.25142721217887726,1.0,0.4018247481467402
0.0006633910828883012,0.2533557046979866,1.0,0.4042838018741633
0.0006665344011348846,0.2607944732297064,1.0,0.4136986301369863
0.0006686857075460105,0.2658450704225352,1.0,0.42002781641168285
0.0006736943790611494,0.2677983278439321,1.0,0.42246203037569946
0.0006770974042550447,0.2695053544110148,1.0,0.4245832496485238
0.0006813323748335628,0.27130390143737165,1.0,0.42681203311124566
0.0006874168174903583,0.2767015706806283,1.0,0.43346319458683624
0.000691394644804358,0.2830744509908945,1.0,0.44124399916510126
0.0006946708495106976,0.2862946912242687,1.0,0.44514634659928404
0.0007019555314391764,0.2907840440165062,1.0,0.4505541346973572
0.0007065244487110331,0.29304130856667593,1.0,0.45325900514579764
0.0007135490896632658,0.29483960948396093,1.0,0.4554071520896165
0.0007157158479939411,0.2970770095559303,1.0,0.4580715059588299
0.0007184904343002912,0.2984189723320158,1.0,0.4596651445966514
0.0007270321198984227,0.305314846909301,1.0,0.46780261119716754
0.0007320016004490784,0.30852305896088733,1.0,0.4715592237341066
0.0007378278016132491,0.3109738158281848,1.0,0.47441651705565535
0.0007471132080482845,0.31337088645123035,1.0,0.4772009029345372
0.0007510146251171259,0.314676987198571,1.0,0.478713768115942
0.0007563025350973581,0.3163723436096977,1.0,0.4806730331969077
0.00076324204081255,0.3174174174174174,1.0,0.48187827672669253
0.0007694491677466575,0.3203030303030303,1.0,0.48519623594216205
0.0007755372647750514,0.322846670739157,1.0,0.4881089817594089
0.0007821889235514018,0.3252307692307692,1.0,0.49082888321337353
0.0007906807754860862,0.3276503409795412,1.0,0.493579266869017
0.00080590486242096,0.32979719188767553,1.0,0.49601126231816045
0.0008229484707819,0.3324944951242529,1.0,0.4990557129367328
0.0008439659605329243,0.33534263959390864,1.0,0.5022570681872178
0.0008667629896809022,0.33726866624122526,1.0,0.504414220949654
0.0008780978022994507,0.33867350208266583,1.0,0.5059837242699856
0.0009050681525525986,0.3403090792015454,1.0,0.5078068700456402
0.0009168688476359311,0.3424036281179138,1.0,0.5101351351351352
0.0009322262116374205,0.34452411994784876,1.0,0.5124848484848484
0.0009450519530345735,0.34746877054569364,1.0,0.5157355452549403
0.0009699923714687459,0.34930601454064775,1.0,0.517756551555229
0.0009897795505137811,0.35069674850696747,1.0,0.5192827315155981
0.001012208506252627,0.35233333333333333,1.0,0.5210746857283707
0.0010483193801786182,0.3542225201072386,1.0,0.5231378371690175
0.001082746327778672,0.3561320754716981,1.0,0.5252173913043479
